id,date,store_nbr,onpromotion,sales_per_trans
0,2013-01-02,48,0,2.360612304974978
1,2013-01-03,48,0,2.1440942154485625
2,2013-01-04,48,0,2.0089655172413794
3,2013-01-05,48,0,2.3281096963761017
4,2013-01-06,48,0,2.5787410150294052
5,2013-01-07,48,0,1.882461994809047
6,2013-01-08,48,0,1.7310344827586206
7,2013-01-09,48,0,1.5375647668393781
8,2013-01-10,48,0,1.5375226039783
9,2013-01-11,48,0,1.4636894824707847
10,2013-01-12,48,0,1.8783904619970193
11,2013-01-13,48,0,2.239418983220636
12,2013-01-14,48,0,1.6257309941520468
13,2013-01-15,48,0,1.6672527472527472
14,2013-01-16,48,0,1.6376440460947503
15,2013-01-17,48,0,1.429274843330349
16,2013-01-18,48,0,1.3870140965399402
17,2013-01-19,48,0,2.0339033018867925
18,2013-01-20,48,0,2.1827398615232445
19,2013-01-21,48,0,1.6470345963756179
20,2013-01-22,48,0,1.56056338028169
21,2013-01-23,48,0,1.669114272602111
22,2013-01-24,48,0,1.5218052738336714
23,2013-01-25,48,0,1.5552608311229001
24,2013-01-26,48,0,1.9454244762954795
25,2013-01-27,48,0,2.2061855670103094
26,2013-01-28,48,0,1.7504332755632583
27,2013-01-29,48,0,1.4742268041237114
28,2013-01-30,48,0,1.486180335296783
29,2013-01-31,48,0,1.6151315789473684
30,2013-02-01,48,0,2.046719340432841
31,2013-02-02,48,0,2.5063137445361825
32,2013-02-03,48,0,2.723348437872645
33,2013-02-04,48,0,2.040492957746479
34,2013-02-05,48,0,1.9392831016825165
35,2013-02-06,48,0,1.7451268848841486
36,2013-02-07,48,0,1.5806826997672614
37,2013-02-08,48,0,1.5222772277227723
38,2013-02-09,48,0,1.8133140376266281
39,2013-02-10,48,0,1.803477690288714
40,2013-02-11,48,0,1.7890438924804355
41,2013-02-12,48,0,1.8693654895205283
42,2013-02-13,48,0,1.4600922312876907
43,2013-02-14,48,0,1.2332209623046277
44,2013-02-15,48,0,1.6396233248822891
45,2013-02-16,48,0,2.1015135699373695
46,2013-02-17,48,0,2.2808823529411764
47,2013-02-18,48,0,1.944683908045977
48,2013-02-19,48,0,1.8295942720763723
49,2013-02-20,48,0,1.6844106463878328
50,2013-02-21,48,0,1.518627450980392
51,2013-02-22,48,0,1.5125111706881145
52,2013-02-23,48,0,2.0861657722122837
53,2013-02-24,48,0,2.451891342980452
54,2013-02-25,48,0,1.866870362287211
55,2013-02-26,48,0,1.648873653281097
56,2013-02-27,48,0,1.6326436781609195
57,2013-02-28,48,0,1.818342151675485
58,2013-03-01,48,0,2.140664048554088
59,2013-03-02,48,0,2.7232229795520935
60,2013-03-03,48,0,3.03541991534863
61,2013-03-04,48,0,2.3558238636363638
62,2013-03-05,48,0,1.9791144527986633
63,2013-03-06,48,0,1.7720558882235529
64,2013-03-07,48,0,1.7493857493857494
65,2013-03-08,48,0,1.4164179104477612
66,2013-03-09,48,0,2.21607486925406
67,2013-03-10,48,0,2.4072904009720535
68,2013-03-11,48,0,1.9044874433923424
69,2013-03-12,48,0,1.7721459024159165
70,2013-03-13,48,0,1.598855129898723
71,2013-03-14,48,0,1.4227642276422765
72,2013-03-15,48,0,1.559951554299556
73,2013-03-16,48,0,2.1628505273990224
74,2013-03-17,48,0,2.386655074983699
75,2013-03-18,48,0,1.8722378465247087
76,2013-03-19,48,0,1.5898778359511343
77,2013-03-20,48,0,1.636594663278272
78,2013-03-21,48,0,1.6211635364177737
79,2013-03-22,48,0,1.5292553191489362
80,2013-03-23,48,0,2.221140848878075
81,2013-03-24,48,0,2.507085020242915
82,2013-03-25,48,0,1.882582322357019
83,2013-03-26,48,0,1.7175355450236967
84,2013-03-27,48,0,1.8535745047372953
85,2013-03-28,48,0,1.7204104067423964
86,2013-03-29,48,0,1.9050918951491413
87,2013-03-30,48,0,2.3381836427496236
88,2013-03-31,48,0,2.7052526761264626
89,2013-04-01,48,0,2.6762564991334488
90,2013-04-02,48,0,2.5288655631812675
91,2013-04-03,48,0,2.0977653631284916
92,2013-04-04,48,0,1.9221209610604806
93,2013-04-05,48,0,1.915151515151515
94,2013-04-06,48,0,2.5475643968375414
95,2013-04-07,48,0,2.8340754628544644
96,2013-04-08,48,0,1.921624948707427
97,2013-04-09,48,0,1.6127114769090078
98,2013-04-10,48,0,1.7186849771119435
99,2013-04-11,48,0,1.532804011700794
100,2013-04-12,48,0,1.4913201453371012
101,2013-04-13,48,0,2.0096385542168673
102,2013-04-14,48,0,2.513755158184319
103,2013-04-15,48,0,1.9069221744231521
